TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG
24.0,31.2,27.6,76.0,0.0,0.0,4.0,360.0,2.0
25.0,32.5,27.7,74.0,0.0,7.5,4.0,360.0,1.0
25.0,32.2,27.9,70.0,0.0,6.6,5.0,190.0,2.0
25.0,32.2,27.7,71.0,0.0,7.0,5.0,20.0,2.0
25.0,33.4,28.6,70.0,0.0,0.0,4.0,350.0,1.0
25.0,32.6,28.1,74.0,0.0,0.0,5.0,100.0,2.0
25.0,32.4,28.5,70.0,0.0,3.0,6.0,80.0,2.0
25.0,32.6,28.0,70.0,0.0,5.8,6.0,90.0,2.0
25.0,32.2,28.8,69.0,0.5,0.0,4.0,60.0,1.0
25.0,32.0,28.4,70.0,0.0,0.0,4.0,20.0,1.0
25.0,32.8,28.7,70.0,0.0,0.0,3.0,80.0,1.0
24.0,32.6,27.8,70.0,0.0,0.0,4.0,90.0,1.0
24.0,32.0,27.3,74.0,0.0,0.0,4.0,80.0,1.0
24.0,31.6,28.1,72.0,0.0,3.5,4.0,250.0,1.0
25.0,31.7,27.9,68.0,0.0,0.0,4.0,50.0,2.0
24.0,31.6,27.8,69.0,0.0,5.3,4.0,10.0,2.0
24.0,31.2,26.8,75.0,0.0,4.0,3.0,90.0,1.0
25.0,31.2,27.7,71.0,0.0,5.0,4.0,120.0,2.0
25.0,31.6,27.7,71.0,0.0,0.0,5.0,300.0,2.0
25.0,32.4,28.2,70.0,0.0,7.0,4.0,360.0,2.0
24.0,31.4,27.6,72.0,0.0,0.0,4.0,10.0,2.0
25.0,32.2,27.8,74.0,0.0,7.0,4.0,90.0,1.0
25.0,32.8,28.0,78.0,0.0,0.0,4.0,170.0,2.0
26.0,32.0,28.5,75.0,0.0,6.5,4.0,150.0,2.0
25.0,32.8,29.2,76.0,6.0,0.0,4.0,350.0,1.0
25.0,31.7,27.4,80.0,4.9,3.0,4.0,10.0,2.0
26.0,32.5,28.1,74.0,0.0,0.0,4.0,360.0,1.0
26.0,31.8,28.7,76.0,0.6,5.2,4.0,170.0,2.0
25.0,30.8,27.9,83.0,0.0,1.0,4.0,150.0,2.0
25.0,33.0,29.1,72.0,0.0,7.0,4.0,360.0,2.0
25.0,32.6,28.4,76.0,0.0,8.0,4.0,80.0,2.0
26.0,33.2,28.5,77.0,0.0,8.0,5.0,90.0,2.0
25.0,32.5,29.1,75.0,3.4,8.0,4.0,70.0,2.0
26.0,32.8,28.7,77.0,0.0,8.0,4.0,360.0,1.0
25.0,32.6,28.8,78.0,10.0,8.0,4.0,360.0,2.0
26.0,33.0,28.4,83.0,0.0,8.0,5.0,250.0,2.0
25.0,33.2,28.7,70.0,0.0,8.0,5.0,360.0,2.0
25.0,33.3,28.6,72.0,0.0,8.0,4.0,360.0,2.0
25.0,33.2,28.8,70.0,0.0,8.0,5.0,80.0,2.0
25.0,32.8,28.3,71.0,0.0,8.0,5.0,80.0,2.0
26.0,34.2,29.3,69.0,0.0,8.0,5.0,80.0,2.0
25.0,33.4,29.0,72.0,0.0,8.0,5.0,220.0,2.0
26.0,32.8,28.6,75.0,0.0,8.0,4.0,290.0,2.0
25.0,33.7,28.7,70.0,0.0,8.0,4.0,30.0,2.0
25.0,33.8,28.6,70.0,0.0,8.0,6.0,90.0,2.0
26.0,34.7,29.4,68.0,0.0,8.0,4.0,80.0,2.0
27.0,33.2,29.6,74.0,0.0,8.0,5.0,70.0,2.0
27.0,33.5,29.3,71.0,0.0,6.0,4.0,20.0,1.0
26.0,32.0,28.9,77.0,1.0,5.5,5.0,300.0,2.0
25.0,31.6,28.4,73.0,14.0,3.5,5.0,40.0,2.0
25.0,31.6,28.4,74.0,0.0,6.0,4.0,20.0,2.0
25.0,32.6,28.5,79.0,0.0,7.5,5.0,90.0,2.0
25.0,33.5,29.0,72.0,0.9,2.5,4.0,80.0,2.0
26.0,32.4,28.6,77.0,0.0,7.1,4.0,30.0,1.0
25.0,31.8,28.3,72.0,0.6,3.0,3.0,50.0,0.0
25.0,33.4,28.6,79.0,0.0,8.0,5.0,360.0,2.0
26.0,33.2,29.6,70.0,0.0,8.0,5.0,60.0,2.0
26.0,34.0,29.8,69.0,0.0,8.0,5.0,50.0,2.0
26.0,33.2,29.7,66.0,0.0,5.5,4.0,50.0,2.0
26.0,33.4,28.9,73.0,0.0,8.0,4.0,120.0,2.0
26.0,32.2,28.8,79.0,0.0,3.3,5.0,320.0,1.0
26.0,33.0,29.5,80.0,0.0,5.0,4.0,360.0,2.0
25.0,33.0,28.3,77.0,8.6,0.0,5.0,340.0,2.0
25.0,29.4,27.0,80.0,10.5,0.0,4.0,350.0,1.0
25.0,32.4,28.0,78.0,0.0,5.0,4.0,360.0,1.0
25.0,32.6,27.9,75.0,0.0,4.3,5.0,20.0,1.0
26.0,31.2,28.8,70.0,0.0,8.0,4.0,360.0,1.0
26.0,33.2,29.0,69.0,0.0,7.5,4.0,360.0,1.0
26.0,33.4,29.0,72.0,0.0,7.5,4.0,360.0,1.0
25.0,33.0,29.3,76.0,0.0,7.0,5.0,350.0,1.0
26.0,33.2,29.2,72.0,0.0,5.0,4.0,32.0,1.0
26.0,32.9,29.1,79.0,0.0,8.0,4.0,340.0,1.0
25.0,33.8,28.8,80.0,0.0,8.0,5.0,350.0,2.0
26.0,33.2,28.5,79.0,0.0,5.5,4.0,340.0,1.0
26.0,32.6,28.7,82.0,2.5,1.6,4.0,360.0,1.0
26.0,32.4,28.6,83.0,0.0,2.3,4.0,310.0,2.0
26.0,31.4,28.4,77.0,1.2,3.7,5.0,340.0,1.0
26.0,33.0,28.9,73.0,0.0,4.0,4.0,350.0,1.0
25.0,33.0,29.7,71.0,0.0,4.5,4.0,360.0,2.0
25.0,33.8,28.7,78.0,0.0,8.0,4.0,350.0,2.0
25.0,32.6,28.2,75.0,0.0,5.0,5.0,340.0,2.0
25.0,31.8,28.6,78.0,8.8,0.7,5.0,350.0,2.0
25.0,32.2,28.4,86.0,0.0,3.0,4.0,20.0,2.0
25.0,31.8,28.1,79.0,0.6,0.0,4.0,360.0,2.0
25.0,33.4,29.2,77.0,3.3,0.6,5.0,360.0,2.0
24.0,32.1,27.0,86.0,1.3,2.0,4.0,270.0,1.0
25.0,32.8,29.1,77.0,0.0,0.0,5.0,280.0,2.0
26.0,34.4,29.1,71.0,0.0,6.5,5.0,260.0,3.0
26.0,34.4,29.9,72.0,0.0,5.3,5.0,270.0,2.0
25.0,31.1,28.8,76.5,25.0,0.0,2.0,10.0,0.0
26.0,29.6,27.4,77.0,4.1,0.0,4.0,310.0,1.0
24.0,30.0,26.6,76.0,9.6,0.0,3.0,200.0,0.0
23.0,30.0,25.9,79.0,30.6,0.0,3.0,270.0,1.0
24.0,31.9,27.1,78.0,0.0,3.5,3.0,280.0,0.0
26.0,32.2,27.7,76.0,0.0,1.0,2.0,280.0,0.0
26.0,32.5,28.7,68.0,0.0,5.0,4.0,30.0,1.0
26.0,31.0,28.4,74.0,0.0,0.5,5.0,310.0,2.0
26.0,32.1,28.5,77.0,0.0,5.5,4.0,360.0,1.0
24.0,31.2,28.4,80.0,2.6,1.0,3.0,360.0,1.0
25.0,31.8,27.8,80.0,0.0,2.5,4.0,340.0,2.0
25.0,31.8,27.8,78.0,0.7,1.5,3.0,340.0,0.0
25.0,32.4,28.3,78.0,2.6,4.2,3.0,350.0,1.0
25.0,31.7,27.8,82.0,0.0,5.0,4.0,350.0,1.0
25.0,32.4,27.8,74.0,4.1,4.8,6.0,40.0,1.0
26.0,31.8,27.7,78.0,0.3,4.0,4.0,360.0,4.0
24.0,32.1,27.5,77.0,25.2,1.0,3.0,360.0,4.0
25.0,31.8,27.9,89.0,9.2,3.0,3.0,90.0,1.0
26.0,31.6,28.1,75.0,0.8,3.0,2.0,30.0,0.0
25.0,31.8,28.2,75.0,27.8,2.7,2.0,10.0,0.0
25.0,31.4,27.9,78.0,3.4,3.4,3.0,20.0,0.0
24.0,31.8,27.3,74.0,15.1,1.0,5.0,290.0,1.0
25.0,28.2,26.6,86.0,0.1,0.5,5.0,10.0,2.0
24.0,32.4,27.9,79.0,8.8,2.0,5.0,270.0,0.0
24.0,30.0,26.3,82.0,19.0,0.5,3.0,270.0,1.0
24.0,27.9,25.1,90.0,13.2,0.0,3.0,280.0,1.0
24.0,31.4,27.4,80.0,1.3,0.4,5.0,350.0,1.0
26.0,31.0,27.5,80.0,1.0,1.0,4.0,300.0,1.0
25.0,31.0,27.6,78.0,0.4,1.7,5.0,20.0,3.0
26.0,31.1,28.0,76.0,6.2,2.0,5.0,290.0,3.0
25.0,32.4,28.5,77.0,0.0,3.0,8.0,250.0,3.0
25.0,33.5,28.8,74.0,0.0,5.3,6.0,270.0,3.0
25.0,33.6,28.8,66.0,0.0,5.5,5.0,50.0,3.0
25.0,33.7,28.9,72.0,0.0,5.5,7.0,250.0,2.0
25.0,33.2,28.8,72.0,0.0,3.7,5.0,270.0,3.0
24.0,33.3,28.5,64.0,0.0,5.3,5.0,250.0,2.0
25.0,32.9,27.9,66.0,0.0,5.0,5.0,250.0,2.0
25.0,33.4,29.4,66.0,0.0,5.3,8.0,250.0,3.0
24.0,32.0,28.3,74.0,0.0,1.5,3.0,240.0,2.0
25.0,31.6,28.2,75.0,0.0,2.0,4.0,270.0,2.0
25.0,32.2,28.1,74.0,0.0,2.3,4.0,250.0,2.0
25.0,32.3,28.2,76.0,42.0,3.0,4.0,270.0,2.0
25.0,31.6,27.9,78.0,1.0,4.0,4.0,250.0,1.0
25.0,29.4,26.9,82.0,6.0,0.0,8.0,270.0,2.0
24.0,33.4,28.8,70.0,0.0,5.0,6.0,270.0,2.0
25.0,31.4,27.8,78.0,7.1,3.0,3.0,360.0,2.0
26.0,32.0,28.2,74.0,0.4,1.5,5.0,290.0,2.0
25.0,29.0,26.7,83.0,3.0,0.0,4.0,300.0,2.0
26.0,34.2,29.0,68.0,0.0,4.0,4.0,260.0,2.0
26.0,32.6,28.7,69.0,0.0,3.2,4.0,300.0,2.0
25.0,32.6,29.0,70.0,0.0,2.9,5.0,290.0,2.0
26.0,32.1,28.5,74.0,0.0,2.0,4.0,260.0,2.0
26.0,32.0,28.4,72.0,0.2,3.0,5.0,270.0,3.0
25.0,28.3,26.5,79.0,0.1,0.0,4.0,270.0,2.0
24.0,30.0,27.3,85.0,5.7,0.5,5.0,270.0,2.0
25.0,31.0,27.3,73.0,0.0,2.9,3.0,260.0,1.0
25.0,31.7,28.4,80.0,16.0,4.8,3.0,300.0,1.0
25.0,31.8,27.8,81.0,7.6,4.2,4.0,320.0,1.0
25.0,32.2,28.3,77.0,0.0,4.0,4.0,20.0,2.0
24.0,31.8,28.4,76.0,2.2,4.0,4.0,300.0,1.0
24.0,31.7,26.9,74.0,0.0,1.0,3.0,300.0,1.0
24.0,32.2,27.8,78.0,0.0,3.3,5.0,360.0,1.0
25.0,32.1,28.2,77.0,3.9,2.0,3.0,250.0,0.0
25.0,32.1,28.0,82.0,0.0,3.0,3.0,350.0,1.0
25.0,30.5,27.2,79.0,0.0,1.5,4.0,250.0,2.0
25.0,32.0,27.2,81.0,17.2,2.5,4.0,300.0,1.0
25.0,30.8,27.0,83.0,0.0,0.0,4.0,280.0,1.0
25.0,31.2,27.1,81.0,0.8,1.0,3.0,20.0,1.0
24.0,30.0,27.2,87.0,47.5,0.5,6.0,310.0,1.0
24.0,31.2,27.5,80.0,43.0,4.0,5.0,360.0,2.0
23.0,31.2,27.0,79.0,8.3,2.5,5.0,350.0,2.0
24.0,30.4,26.8,79.0,14.0,2.0,4.0,290.0,2.0
25.0,30.6,27.0,78.0,0.0,0.5,3.0,340.0,1.0
26.0,30.6,27.5,78.0,0.0,1.5,3.0,350.0,1.0
25.0,33.2,29.0,66.0,0.0,1.3,5.0,270.0,2.0
27.0,33.4,28.4,72.0,0.0,3.0,4.0,340.0,1.0
27.0,31.2,28.5,72.0,1.2,2.0,5.0,300.0,2.0
25.0,30.0,27.2,84.0,19.1,0.5,4.0,350.0,3.0
23.0,30.2,26.3,81.0,17.9,0.0,4.0,280.0,2.0
